"id","owner","name","count(user_id)","commits last month","pull reqs last month","changesLastMonth","age_in_days","language","commits all","pull reqs all","totalChanges"
8,"NUBIC","ncs_navigator_core",16,0,0,0,686,"Ruby",5547,298,5845
34,"github","android",37,2,5,7,910,"Java",1735,174,1909
63,"pculture","unisubs",15,298,41,339,930,"Python",7540,330,7870
118,"ryanb","cancan",13,0,4,4,1570,"Ruby",129,189,318
127,"mozilla","addon-sdk",17,89,87,176,1345,"Python",2617,1420,4037
142,"opscode-cookbooks","cron",26,1,3,4,722,"Ruby",31,21,52
190,"Netflix","SimianArmy",47,7,8,15,608,"Java",174,95,269
310,"intridea","grape",14,22,22,44,1312,"Ruby",462,306,768
312,"Katello","katello",36,344,224,568,693,"Ruby",15523,3462,18985
340,"netty","netty",16,605,70,675,1213,"Java",7717,742,8459
343,"WindowsAzure","azure-sdk-for-java",26,0,0,0,821,"Java",850,178,1028
381,"aeolusproject","imagefactory",40,0,0,0,1150,"Python",732,230,962
418,"sunpy","sunpy",15,101,104,205,943,"Python",1312,549,1861
427,"saasbook","hw2_rottenpotatoes",18,0,0,0,766,"Ruby",41,4,45
474,"mozilla","mozbase",17,40,3,43,891,"Python",517,56,573
489,"Shopify","active_merchant",273,123,73,196,2116,"Ruby",1270,840,2110
587,"heroku","heroku-buildpack-ruby",44,231,30,261,1017,"Ruby",1113,143,1256
608,"errbit","errbit",10,19,26,45,1310,"Ruby",567,398,965
613,"MovingBlocks","Terasology",64,315,129,444,1098,"Java",1396,414,1810
657,"spree","spree_reviews",33,64,13,77,757,"Ruby",228,74,302
687,"gwu-libraries","launchpad",10,106,41,147,654,"Python",777,109,886
714,"puppetlabs","puppet-docs",150,202,22,224,1269,"Ruby",1757,288,2045
750,"ros","rosdistro",18,598,563,1161,785,"Python",4261,3222,7483
772,"mozilla","socorro",18,140,160,300,925,"Python",2277,1927,4204
774,"mozilla","Socorro-Tests",40,7,10,17,1035,"Python",247,237,484
807,"openmicroscopy","bioformats",47,106,127,233,884,"Java",9483,961,10444
810,"commonsense","metanl",35,3,0,3,738,"Python",160,7,167
847,"puppetlabs","puppet",195,292,189,481,1269,"Ruby",10015,2407,12422
852,"engineyard","ey-cloud-recipes",96,3,6,9,1840,"Ruby",255,120,375
853,"rapid7","metasploit-framework",65,213,231,444,919,"Ruby",16117,2982,19099
860,"mozilla","bedrock",18,290,193,483,1057,"Python",3616,1720,5336
868,"pivotal","pivotal_workstation",28,0,0,0,1122,"Ruby",252,222,474
937,"grails","grails-core",11,380,26,406,1485,"Java",8274,460,8734
